cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj,valor,instituicao,ente_uf,cores,MicroRegion
2501906,Belém,0,NE,PB,M,2020,17676,08928517000157,1230592.48,Câmara de Vereadores de Belém - PB,Belém-PB,blue,25016
2502003,Belém do Brejo do Cruz,0,NE,PB,M,2020,7342,08920126000196,620842.55,Câmara de Vereadores de Belém do Brejo do Cruz - PB,Belém do Brejo do Cruz-PB,red,25001
2502052,Bernardino Batista,0,NE,PB,M,2020,3501,01621539000120,582553.29,Câmara de Vereadores de Bernardino Batista - PB,Bernardino Batista-PB,red,25002
2502102,Boa Ventura,0,NE,PB,M,2020,5366,08940702000167,523089.91,Câmara de Vereadores de Boa Ventura - PB,Boa Ventura-PB,red,25006
2502151,Boa Vista,0,NE,PB,M,2020,7051,01612538000110,806874.79,Câmara de Vereadores de Boa Vista - PB,Boa Vista-PB,red,25017
2502201,Bom Jesus,0,NE,PB,M,2020,2561,08923989000117,543464.22,Câmara de Vereadores de Bom Jesus - PB,Bom Jesus-PB,red,25002
2502300,Bom Sucesso,0,NE,PB,M,2020,4975,08920571000156,516282.2,Câmara de Vereadores de Bom Sucesso - PB,Bom Sucesso-PB,red,25001
2502409,Bonito de Santa Fé,0,NE,PB,M,2020,11917,08924037000118,823910.35,Câmara de Vereadores de Bonito de Santa Fé - PB,Bonito de Santa Fé-PB,blue,25002
2502508,Boqueirão,0,NE,PB,M,2020,17804,08702573000179,1274069.13,Câmara de Vereadores de Boqueirão - PB,Boqueirão-PB,blue,25011
2502607,Igaracy,0,NE,PB,M,2020,6117,08885139000171,580408.27,Câmara de Vereadores de Igaracy - PB,Igaracy-PB,red,25005
2502706,Borborema,0,NE,PB,M,2020,5263,09070400000148,563247.39,Câmara de Vereadores de Borborema - PB,Borborema-PB,red,25015
2502805,Brejo do Cruz,0,NE,PB,M,2020,14122,08767154000115,891715.53,Câmara de Vereadores de Brejo do Cruz - PB,Brejo do Cruz-PB,blue,25001
2502904,Brejo dos Santos,0,NE,PB,M,2020,6449,09164716000107,572496.59,Câmara de Vereadores de Brejo dos Santos - PB,Brejo dos Santos-PB,red,25001
2503001,Caaporã,0,NE,PB,M,2020,21828,08865644000154,2196007.51,Câmara de Vereadores de Caaporã - PB,Caaporã-PB,blue,25023
2503100,Cabaceiras,0,NE,PB,M,2020,5611,08702862000178,601503.31,Câmara de Vereadores de Cabaceiras - PB,Cabaceiras-PB,red,25011
2503209,Cabedelo,0,NE,PB,M,2020,67736,09012493000154,10065536.86,Câmara de Vereadores de Cabedelo - PB,Cabedelo-PB,blue,25022
2503308,Cachoeira dos Índios,0,NE,PB,M,2020,10244,08923997000163,819385.83,Câmara de Vereadores de Cachoeira dos Índios - PB,Cachoeira dos Índios-PB,blue,25002
2503407,Cacimba de Areia,0,NE,PB,M,2020,3682,08874984000141,562075.63,Câmara de Vereadores de Cacimba de Areia - PB,Cacimba de Areia-PB,red,25004
2503506,Cacimba de Dentro,0,NE,PB,M,2020,17187,08929648000159,1161291.2,Câmara de Vereadores de Cacimba de Dentro - PB,Cacimba de Dentro-PB,blue,25013
