instituicao,cod_ibge,uf,populacao,demais,adm,legis,total
Prefeitura Municipal de Campo Largo do Piauí - PI,2202174,PI,7245,19819400,3138450,642150,23600000
Prefeitura Municipal de Campo Limpo de Goiás - GO,5204854,GO,7636,18906668.82,2855509.3,1200000,22962178.12
Prefeitura Municipal de Campo Limpo Paulista - SP,3509601,SP,83735,207780104.07,21103680,8660000,237543784.07
Prefeitura Municipal de Campo Magro - PR,4104253,PR,28885,60760094.99,26085534.4,0,86845629.39
Prefeitura Municipal de Campo Maior - PI,2202208,PI,46770,132965064.89000002,15976247.26,4549000,153490312.15
Prefeitura Municipal de Campo Mourão - PR,4104303,PR,94212,418219253.97,38759203.14,10000000,466978457.11
Prefeitura Municipal de Campo Novo - RS,4304002,RS,4596,16810223.35,2986610,971800,20768633.35
Prefeitura Municipal de Campo Novo de Rondônia - RO,1100700,RO,14009,43683071.45,2560782.11,1564563.36,47808416.92
Prefeitura Municipal de Campo Novo do Parecis - MT,5102637,MT,34558,165722917.51,21902945.44,6000000,193625862.95
Prefeitura Municipal de Campo Redondo - RN,2402105,RN,11142,30327415,4065985,1200000,35593400
Prefeitura Municipal de Campo Verde - MT,5102678,MT,42871,127393942.35000001,21362484.67,5780000,154536427.02
Prefeitura Municipal de Campos Altos - MG,3111507,MG,15356,44559172.13,5914524.87,2100000,52573697
Prefeitura Municipal de Campos Belos - GO,5204904,GO,19764,55535980.82,5597551.78,2238542.37,63372074.97
Prefeitura Municipal de Campos Borges - RS,4304101,RS,3345,18067505.68,3163490,935000,22165995.68
Prefeitura Municipal de Campos de Júlio - MT,5102686,MT,6710,50005372.190000005,7954440.15,2061042.5,60020854.84
Prefeitura Municipal de Campos do Jordão - SP,3509700,SP,51763,173123634.57,31523714.33,0,204647348.89999998
Prefeitura Municipal de Campos dos Goytacazes - RJ,3301009,RJ,503424,1813965336.0099998,279331990.8,29738535.3,2123035862.1099997
Prefeitura Municipal de Campos Gerais - MG,3111606,MG,28703,58727335.239999995,8805235.83,2400000,69932571.07
Prefeitura Municipal de Campos Lindos - TO,1703842,TO,9917,25753602.83,3755097.17,1323300,30832000
Prefeitura Municipal de Campos Novos - SC,4203600,SC,35930,169540504.49,9362209.76,3152598.66,182055312.91
Prefeitura Municipal de Campos Novos Paulista - SP,3509809,SP,4932,16744497.559999999,3132500,1126900,21003897.56
Prefeitura Municipal de Campos Sales - CE,2302701,CE,27409,48361024,12967737,2034638,63363399
Prefeitura Municipal de Campos Verdes - GO,5204953,GO,2459,23636127.97,4310518.11,1171000,29117646.08
Prefeitura Municipal de Camutanga - PE,2603603,PE,8530,34482193.25,5589186.75,1659000,41730380
Prefeitura Municipal de Cana Verde - MG,3111903,MG,5612,14604284,3840600,848116,19293000
Prefeitura Municipal de Canaã - MG,3111705,MG,4579,15419805.219999999,2709363.89,816000,18945169.11
Prefeitura Municipal de Canaã dos Carajás - PA,1502152,PA,36050,390571497.15,133603141.87,9049880,533224519.02
Prefeitura Municipal de Canabrava do Norte - MT,5102694,MT,4761,17096724.71,3842943.37,1053211.52,21992879.6
Prefeitura Municipal de Cananéia - SP,3509908,SP,12539,55466054.58,7337413.75,1895000,64698468.33
Prefeitura Municipal de Canapi - AL,2701605,AL,17726,47145148.61,5666967.52,1758000,54570116.129999995
Prefeitura Municipal de Canápolis - BA,2906105,BA,9719,31608095.009999998,2972540.99,1083744,35664380
Prefeitura Municipal de Canápolis - MG,3111804,MG,12025,25783238.380000003,9566761.62,2100000,37450000
Prefeitura Municipal de Canarana - BA,2906204,BA,26020,68189599,9550401,2360000,80100000
Prefeitura Municipal de Canarana - MT,5102702,MT,21311,80551043.15,16823016.66,3649900,101023959.81
Prefeitura Municipal de Canas - SP,3509957,SP,5071,18865793.82,3444901.81,968000,23278695.63
Prefeitura Municipal de Canavieira - PI,2202251,PI,3957,14326763.06,3078058.07,870178.87,18275000
Prefeitura Municipal de Canavieiras - BA,2906303,BA,31301,58900275,11099725,2600000,72600000
Prefeitura Municipal de Candeal - BA,2906402,BA,8338,22064678.33,2009801.14,1040381,25114860.47
Prefeitura Municipal de Candeias - BA,2906501,BA,86677,447852888.9,30902623.98,19238000,497993512.88
Prefeitura Municipal de Candeias - MG,3112000,MG,14883,34228044.45,8657769.7,1995000,44880814.150000006
Prefeitura Municipal de Candeias do Jamari - RO,1100809,RO,25983,52535292.269999996,9570471.88,2104310.65,64210074.8
Prefeitura Municipal de Candelária - RS,4304200,RS,31306,119341372.05,7636251.94,3268700,130246323.99
Prefeitura Municipal de Candiba - BA,2906600,BA,14268,33354692,2967258,1617162,37939112
Prefeitura Municipal de Cândido de Abreu - PR,4104402,PR,15233,37647462.96,3405187.21,1912049.64,42964699.81
Prefeitura Municipal de Cândido Godói - RS,4304309,RS,6246,27567895.68,4055200,1109304.32,32732400
Prefeitura Municipal de Cândido Mendes - MA,2102606,MA,20076,39661690.2,7182496.15,1206295.54,48050481.89
Prefeitura Municipal de Cândido Mota - SP,3510005,SP,31212,100842796.02,15571435,2473000,118887231.02
Prefeitura Municipal de Cândido Rodrigues - SP,3510104,SP,2787,16664432.24,2473938.9,766000,19904371.14
Prefeitura Municipal de Cândido Sales - BA,2906709,BA,25332,53255264.3,8955987.7,2755300,64966552
Prefeitura Municipal de Candiota - RS,4304358,RS,9519,45180575.019999996,44365804.84,0,89546379.86
Prefeitura Municipal de Candói - PR,4104428,PR,15903,62781562.7,7972900,2986000,73740462.7
Prefeitura Municipal de Canela - RS,4304408,RS,44489,180256161.66,41913542.47,3540000,225709704.13
Prefeitura Municipal de Canelinha - SC,4203709,SC,12080,35984128.54,2191000,1320000,39495128.54
Prefeitura Municipal de Canguaretama - RN,2402204,RN,33999,66407025.14,6955303.56,2876000,76238328.7
Prefeitura Municipal de Canguçu - RS,4304507,RS,55871,139621304.04000002,38667422.89,5799843,184088569.93
Prefeitura Municipal de Canhoba - SE,2801108,SE,4011,14513073.19,3359926.81,927000,18800000
Prefeitura Municipal de Canhotinho - PE,2603702,PE,24835,58517624.730000004,3889375.27,2493000,64900000.00000001
Prefeitura Municipal de Canindé - CE,2302800,CE,78049,162859368.18,13955796.82,4959000,181774165
Prefeitura Municipal de Canindé de São Francisco - SE,2801207,SE,29430,80315320,25334680,4350000,110000000
Prefeitura Municipal de Canitar - SP,3510153,SP,5139,16924800,2450700,824400,20199900
Prefeitura Municipal de Canoas - RS,4304606,RS,344957,1939840076.9199998,362698627.57,49671000,2352209704.49
Prefeitura Municipal de Canoinhas - SC,4203808,SC,54319,165572615.24,14036977.719999999,4410000,184019592.96
Prefeitura Municipal de Cansanção - BA,2906808,BA,34784,74872941.77,6083277.23,2522500,83478719
Prefeitura Municipal de Cantagalo - MG,3112059,MG,4498,20359216.98,4807533.87,684384.91,25851135.76
Prefeitura Municipal de Cantagalo - PR,4104451,PR,13306,38581712.95,2471147,1575000,42627859.95
Prefeitura Municipal de Cantagalo - RJ,3301108,RJ,20177,82234225.69999999,10335296.6,4323780.3,96893302.59999998
Prefeitura Municipal de Cantanhede - MA,2102705,MA,21872,81412280,16149200,1600000,99161480
Prefeitura Municipal de Canto do Buriti - PI,2202307,PI,21112,76407855.82000001,5972135.11,2134028.16,84514019.09
Prefeitura Municipal de Canudos - BA,2906824,BA,16752,50034960,5840040,1845000,57720000
Prefeitura Municipal de Canudos do Vale - RS,4304614,RS,1729,14287403.760000002,3105000,613000,18005403.76
Prefeitura Municipal de Canutama - AM,1300904,AM,15450,29219619.03,6160951.02,1633937.84,37014507.89
Prefeitura Municipal de Capanema - PA,1502202,PA,68616,141125971.51999998,11922411.15,4984570.06,158032952.73
Prefeitura Municipal de Capanema - PR,4104501,PR,19099,64931172,4825787.27,3400000,73156959.27
Prefeitura Municipal de Capão Alto - SC,4203253,SC,2556,19907000.14,3106946,1125500,24139446.14
Prefeitura Municipal de Capão Bonito - SP,3510203,SP,47159,136960600,12638700,4425000,154024300
Prefeitura Municipal de Capão Bonito do Sul - RS,4304622,RS,1668,11898715.25,5288878.95,0,17187594.2
Prefeitura Municipal de Capão da Canoa - RS,4304630,RS,52004,239197534.79999998,33181850.83,12351141.27,284730526.9
Prefeitura Municipal de Capão do Cipó - RS,4304655,RS,3602,19976205.979999997,3557301.56,1166500,24700007.539999995
Prefeitura Municipal de Capão do Leão - RS,4304663,RS,25297,64446766,22186801,2789905,89423472
Prefeitura Municipal de Caparaó - MG,3112109,MG,5424,19683966.51,2996883.27,1095600,23776449.78
Prefeitura Municipal de Capela - AL,2701704,AL,17124,54378905.67,5910768.85,2065228.85,62354903.370000005
Prefeitura Municipal de Capela - SE,2801306,SE,33904,67287055.57,15844168.09,3700000,86831223.66
Prefeitura Municipal de Capela de Santana - RS,4304689,RS,11810,35506245.31,4036569.5,1300000,40842814.81
Prefeitura Municipal de Capela do Alto - SP,3510302,SP,20419,68553908.77,5585490,2309900,76449298.77
Prefeitura Municipal de Capela do Alto Alegre - BA,2906857,BA,11660,25232731.45,3338369.55,1146962,29718063
Prefeitura Municipal de Capela Nova - MG,3112208,MG,4673,17095626.64,1458059.27,792000,19345685.91
Prefeitura Municipal de Capelinha - MG,3112307,MG,37856,75617076.02,5116900.05,3445000,84178976.07
Prefeitura Municipal de Capetinga - MG,3112406,MG,6952,19441274,2002710,1009716,22453700
Prefeitura Municipal de Capim - PB,2504033,PB,6424,22172231.72,2729175.28,998055,25899462
Prefeitura Municipal de Capim Branco - MG,3112505,MG,9679,18498943.4,3744710.6,1050000,23293654
Prefeitura Municipal de Capim Grosso - BA,2906873,BA,30451,62595269.5,7456646.5,2560000,72611916
Prefeitura Municipal de Capinópolis - MG,3112604,MG,16109,54769570,5772860,2648000,63190430
Prefeitura Municipal de Capinzal - SC,4203907,SC,22658,196574218.38,21632272.62,6518000,224724491
Prefeitura Municipal de Capinzal do Norte - MA,2102754,MA,10932,48524779.57,15614076,865000,65003855.57
Prefeitura Municipal de Capistrano - CE,2302909,CE,17793,53038847,5224223,1871000,60134070
Prefeitura Municipal de Capitão - RS,4304697,RS,2750,20020230.31,2254600,513000,22787830.31
Prefeitura Municipal de Capitão Andrade - MG,3112653,MG,5420,17018129.1,4056678.9,920000,21994808
Prefeitura Municipal de Capitão de Campos - PI,2202406,PI,11388,30395374.759999998,3559625.2399999998,745000,34700000
Prefeitura Municipal de Capitão Enéas - MG,3112703,MG,15153,41969100,7170250,2150600,51289950
Prefeitura Municipal de Capitão Gervásio Oliveira - PI,2202455,PI,4086,15923747.22,2455363.22,734044.5,19113154.94
Prefeitura Municipal de Capitão Leônidas Marques - PR,4104600,PR,15724,60194656.42999999,6427460.03,2050000,68672116.46
Prefeitura Municipal de Capitão Poço - PA,1502301,PA,54179,112523600,9522000,2615000,124660600
Prefeitura Municipal de Capitólio - MG,3112802,MG,8601,34373771.19,7074567.29,1100000,42548338.48
Prefeitura Municipal de Capivari - SP,3510401,SP,55141,203538253.75,24691048.770000003,4367000,232596302.52
Prefeitura Municipal de Capivari de Baixo - SC,4203956,SC,24559,73194403.43,6823982.71,3657000,83675386.14
Prefeitura Municipal de Capivari do Sul - RS,4304671,RS,4589,17634344.990000002,3830232.4,1193600.87,22658178.26
Prefeitura Municipal de Capixaba - AC,1200179,AC,11456,27405442.330000002,5720747.52,820000,33946189.85
Prefeitura Municipal de Capoeiras - PE,2603801,PE,20048,69454526,5045474,2000000,76500000
Prefeitura Municipal de Caputira - MG,3112901,MG,9287,20020521.25,4025478.75,0,24046000
Prefeitura Municipal de Caraá - RS,4304713,RS,8187,22724505.43,4071830,999000,27795335.43
Prefeitura Municipal de Caracaraí - RR,1400209,RR,21564,86041601.52,10860956.59,1538564,98441122.11
Prefeitura Municipal de Caracol - MS,5002803,MS,6049,25472130.46,5912363.97,1290000,32674494.43
Prefeitura Municipal de Caracol - PI,2202505,PI,10866,42488957.900000006,4561868.8,854230.5,47905057.2
Prefeitura Municipal de Caraguatatuba - SP,3510500,SP,119625,764316544.43,90038425,17811129,872166098.43
Prefeitura Municipal de Caraí - MG,3113008,MG,23586,55866376.75,3738010.67,1767500,61371887.42
Prefeitura Municipal de Caraíbas - BA,2906899,BA,9107,26246207,1593793,1000000,28840000
Prefeitura Municipal de Carambeí - PR,4104659,PR,22993,77322133.15,12090145.3,3739000,93151278.45
Prefeitura Municipal de Caranaíba - MG,3113107,MG,3200,17326826.25,2413365.86,1116450,20856642.11
Prefeitura Municipal de Carandaí - MG,3113206,MG,25327,60642864.5,6457135.5,2800000,69900000
Prefeitura Municipal de Carangola - MG,3113305,MG,32988,74084651.83,12065348.17,2850000,89000000
Prefeitura Municipal de Carapebus - RJ,3300936,RJ,16039,92095910.59,33999583.92,4096534.42,130192028.93
Prefeitura Municipal de Carapicuíba - SP,3510609,SP,398611,460207495.22,185935419.39,15394436,661537350.61
Prefeitura Municipal de Caratinga - MG,3113404,MG,91503,444452356.76,50481145.24,14145000,509078502
Prefeitura Municipal de Carauari - AM,1301001,AM,28076,69130135.9,6905613,2300800,78336548.9
Prefeitura Municipal de Caraúbas - PB,2504074,PB,4140,15523410,4045490,811100,20380000
Prefeitura Municipal de Caraúbas - RN,2402303,RN,20443,48961806.36,5234900,1926631.96,56123338.32
Prefeitura Municipal de Caraúbas do Piauí - PI,2202539,PI,5845,16409825.15,3358834.6,637560,20406219.75
Prefeitura Municipal de Caravelas - BA,2906907,BA,21937,82225000,5240000,3000000,90465000
Prefeitura Municipal de Carazinho - RS,4304705,RS,61949,228408646.31,18791667.79,5100000,252300314.1
Prefeitura Municipal de Carbonita - MG,3113503,MG,9396,27080162.009999998,2456299.67,1280000,30816461.68
Prefeitura Municipal de Cardeal da Silva - BA,2907004,BA,9240,42697420,7285080,1017500,51000000
Prefeitura Municipal de Cardoso - SP,3510708,SP,12303,39688666.72,7150567,1900000,48739233.72
Prefeitura Municipal de Cardoso Moreira - RJ,3301157,RJ,12826,67853316.78,15258155.93,2800000,85911472.71000001
Prefeitura Municipal de Careaçu - MG,3113602,MG,6721,16900525,3548475,1048633.59,21497633.59
Prefeitura Municipal de Careiro - AM,1301100,AM,37384,81639277.13,7997953.92,2516691.98,92153923.03
Prefeitura Municipal de Careiro da Várzea - AM,1301159,AM,29595,41367664.54,5077561.53,1913428.75,48358654.82
Prefeitura Municipal de Cariacica - ES,3201308,ES,378603,773505468,86254841,19025857,878786166
Prefeitura Municipal de Caridade - CE,2303006,CE,22427,58484472.31999999,8541849.780000001,1914000,68940322.1
Prefeitura Municipal de Caridade do Piauí - PI,2202554,PI,5049,26023870,3836785,639345,30500000
Prefeitura Municipal de Carinhanha - BA,2907103,BA,28965,78727464.41,4682972,2679063.59,86089500
Prefeitura Municipal de Carira - SE,2801405,SE,21724,42812162.68,13161837.32,1776000,57750000
Prefeitura Municipal de Cariré - CE,2303105,CE,18802,52630650,4046079.76,1951211.24,58627941
Prefeitura Municipal de Cariri do Tocantins - TO,1703867,TO,4321,27087166.65,7433038.35,0,34520205
Prefeitura Municipal de Caririaçu - CE,2303204,CE,27095,58703243,8023051,2122300,68848594
Prefeitura Municipal de Cariús - CE,2303303,CE,18950,36459875.85,8629961.37,1683636.78,46773474
Prefeitura Municipal de Carlinda - MT,5102793,MT,10413,29745215.36,3509839.97,1070000,34325055.33
Prefeitura Municipal de Carlos Barbosa - RS,4304804,RS,29409,131249622.97999999,11932266,1316000,144497888.98
Prefeitura Municipal de Carlos Chagas - MG,3113701,MG,19007,51494621,10455524,2500000,64450145
Prefeitura Municipal de Carlos Gomes - RS,4304853,RS,1404,13196833.22,2166800,800000,16163633.22
Prefeitura Municipal de Carmésia - MG,3113800,MG,2617,14587560.89,2577832.8,701155.29,17866548.98
Prefeitura Municipal de Carmo da Cachoeira - MG,3113909,MG,12158,30512132.26,2928732.77,1440000,34880865.03
Prefeitura Municipal de Carmo da Mata - MG,3114006,MG,11439,32843268.91,7549606.09,1670000,42062875
Prefeitura Municipal de Carmo de Minas - MG,3114105,MG,14769,35310261.82,5121645.75,1660000,42091907.57
Prefeitura Municipal de Carmo do Cajuru - MG,3114204,MG,22257,51205377.98,10617400.399999999,2456515.56,64279293.94
Prefeitura Municipal de Carmo do Paranaíba - MG,3114303,MG,30324,109334580.27000001,8076650.13,7690000,125101230.4
Prefeitura Municipal de Carmo do Rio Claro - MG,3114402,MG,21180,44363291.98,7458522.92,2480000,54301814.9
Prefeitura Municipal de Carmo do Rio Verde - GO,5205000,GO,9976,27141495.97,4743200.01,1531653,33416348.979999997
Prefeitura Municipal de Carmolândia - TO,1703883,TO,2556,15109657.349999998,3166263.38,959809.51,19235730.24
Prefeitura Municipal de Carmópolis - SE,2801504,SE,16324,62513720.620000005,18956279.38,2980000,84450000
Prefeitura Municipal de Carmópolis de Minas - MG,3114501,MG,19144,41564441.59,11235558.41,2200000,55000000
Prefeitura Municipal de Carnaíba - PE,2603900,PE,19491,53329230.22,4595542.94,2595000,60519773.16
Prefeitura Municipal de Carnaúba dos Dantas - RN,2402402,RN,8119,23532259.049999997,3220145.4,1095000,27847404.449999996
Prefeitura Municipal de Carnaubais - RN,2402501,RN,10651,40802838.67,7601983.58,1472590,49877412.25
Prefeitura Municipal de Carnaubal - CE,2303402,CE,17747,40938880.779999994,6283057.7,1757000,48978938.48
Prefeitura Municipal de Carnaubeira da Penha - PE,2603926,PE,12836,37748578,4858300,1700000,44306878
Prefeitura Municipal de Carneirinho - MG,3114550,MG,9986,39409353.9,9232255.01,2915267,51556875.91
Prefeitura Municipal de Carneiros - AL,2701803,AL,9000,36607174.06,9572461.94,810775,46990411
Prefeitura Municipal de Caroebe - RR,1400233,RR,9950,44630691.42999999,4874451.82,670541.23,50175684.47999999
Prefeitura Municipal de Carolina - MA,2102804,MA,24337,113154178,20498236,2852000,136504414
Prefeitura Municipal de Carpina - PE,2604007,PE,82872,153039500,13550500,6750000,173340000
Prefeitura Municipal de Carrancas - MG,3114600,MG,4044,20274182.79,3151000,564000,23989182.79
Prefeitura Municipal de Carrapateira - PB,2504108,PB,2631,9156200,4553800,790000,14500000
Prefeitura Municipal de Carrasco Bonito - TO,1703891,TO,4059,16382577.55,1348029.8,1323000,19053607.35
Prefeitura Municipal de Caruaru - PE,2604106,PE,356872,812452500,131221500,23100000,966774000
Prefeitura Municipal de Carutapera - MA,2102903,MA,23658,67179160.83,7613179.24,2356152.53,77148492.6
Prefeitura Municipal de Carvalhópolis - MG,3114709,MG,3560,19128006.37,2579179.52,849960,22557145.89
Prefeitura Municipal de Carvalhos - MG,3114808,MG,4495,15334269.5,1990549.04,1588362,18913180.54
Prefeitura Municipal de Casa Branca - SP,3510807,SP,30237,89222061.56,23609331.59,2510000,115341393.15
Prefeitura Municipal de Casa Grande - MG,3114907,MG,2260,14400806.95,2431892.73,996000,17828699.68
Prefeitura Municipal de Casa Nova - BA,2907202,BA,71366,124235246.64,15564753.36,5200000,145000000
Prefeitura Municipal de Casca - RS,4304903,RS,9010,25770426.049999997,7107800,849000,33727226.05
Prefeitura Municipal de Cascalho Rico - MG,3115003,MG,3057,18070648.06,5376437.75,0,23447085.81
Prefeitura Municipal de Cascavel - CE,2303501,CE,71499,158137290.91,17919517.89,4555191.2,180612000
Prefeitura Municipal de Cascavel - PR,4104808,PR,324476,1324401611.82,116206342.19,27626000,1468233954.01
Prefeitura Municipal de Caseara - TO,1703909,TO,5295,18762516.25,4657959.27,980000,24400475.52
Prefeitura Municipal de Caseiros - RS,4304952,RS,3189,18476018.54,3075590,788000,22339608.54
Prefeitura Municipal de Casimiro de Abreu - RJ,3301306,RJ,43295,260964358.74999997,45978881.34,8000000,314943240.09
Prefeitura Municipal de Casinhas - PE,2604155,PE,14313,35815320.96,5781679.04,1712000,43309000
Prefeitura Municipal de Casserengue - PB,2504157,PB,7431,17128351,1928376,777057,19833784
Prefeitura Municipal de Cássia - MG,3115102,MG,17739,43930200,6959800,2400000,53290000
Prefeitura Municipal de Cássia dos Coqueiros - SP,3510906,SP,2542,18929028.93,2324955.35,0,21253984.28
Prefeitura Municipal de Cassilândia - MS,5002902,MS,21876,83215707.88,12925736,3146096.1700000004,99287540.05
Prefeitura Municipal de Castanhal - PA,1502400,PA,198294,460446806.4,46820622.16,15636678,522904106.55999994
Prefeitura Municipal de Castanheira - MT,5102850,MT,8695,25248831.07,2989750,1134296,29372877.07
Prefeitura Municipal de Castanheiras - RO,1100908,RO,3119,16310654.040000001,3620885.33,810000,20741539.37
Prefeitura Municipal de Castelândia - GO,5205059,GO,3464,297165299.31,4771513.49,990000,302926812.8
Prefeitura Municipal de Castelo - ES,3201407,ES,37317,97300206.5,14930352.46,3844864.49,116075423.45
Prefeitura Municipal de Castelo do Piauí - PI,2202604,PI,19715,56573225,8405500,1404240,66382965
Prefeitura Municipal de Castilho - SP,3511003,SP,20738,74095236.03999999,11455000.82,4560000,90110236.85999998
Prefeitura Municipal de Castro - PR,4104907,PR,71151,233207489.24,39196037.76,8800000,281203527
Prefeitura Municipal de Castro Alves - BA,2907301,BA,26209,60821336,4474350,2256000,67551686
Prefeitura Municipal de Cataguases - MG,3115300,MG,74691,117690378.53999999,29848706.17,5321818.68,152860903.39
Prefeitura Municipal de Catalão - GO,5205109,GO,106618,364194498.38,55724879.24,18132570.939999998,438051948.56
Prefeitura Municipal de Catanduva - SP,3511102,SP,121210,468103166.02000004,81516062.45,13383000,563002228.47
Prefeitura Municipal de Catanduvas - PR,4105003,PR,10213,42833936.849999994,4444766.59,979392,48258095.44
Prefeitura Municipal de Catanduvas - SC,4204004,SC,10735,36683556.99,3924016,1567000,42174572.99
Prefeitura Municipal de Catarina - CE,2303600,CE,20562,33865972,2434328,1699700,38000000
Prefeitura Municipal de Catas Altas - MG,3115359,MG,5330,46166372.71,6236719,1769995,54173086.71
Prefeitura Municipal de Catas Altas da Noruega - MG,3115409,MG,3629,11857131.59,2076594.41,969000,14902726
Prefeitura Municipal de Catende - PE,2604205,PE,42434,56942100,14986900,3916000,75845000
Prefeitura Municipal de Catiguá - SP,3511201,SP,7752,20622000,3793000,1110000,25525000
Prefeitura Municipal de Catingueira - PB,2504207,PB,4929,22747460,2269750,802834,25820044
Prefeitura Municipal de Catolândia - BA,2907400,BA,3555,12347000.879999999,4952999.12,900000,18200000
Prefeitura Municipal de Catolé do Rocha - PB,2504306,PB,30343,55640800,4559200,2100000,62300000
Prefeitura Municipal de Catu - BA,2907509,BA,54424,121738595,10010073.44,5251331.56,137000000
Prefeitura Municipal de Catuípe - RS,4305009,RS,8851,30556077.96,5077500,930000,36563577.96
Prefeitura Municipal de Catuji - MG,3115458,MG,6366,24796080.240000002,4099938.24,898000,29794018.480000004
Prefeitura Municipal de Catunda - CE,2303659,CE,10437,27949264,3358732,1260000,32567996
Prefeitura Municipal de Caturaí - GO,5205208,GO,5038,17269911.77,3335209.34,1133235,21738356.11
Prefeitura Municipal de Caturama - BA,2907558,BA,9340,28074566,2212890,1100674,31388130
Prefeitura Municipal de Caturité - PB,2504355,PB,4807,17561811,1598661,883680,20044152
Prefeitura Municipal de Catuti - MG,3115474,MG,5008,20382250,2490750,900000,23773000
Prefeitura Municipal de Caucaia - CE,2303709,CE,363982,761326921.67,87473078.33,16200000,865000000
Prefeitura Municipal de Cavalcante - GO,5205307,GO,9693,59081827.31,9983730.76,3067689.93,72133248.00000001
Prefeitura Municipal de Caxambu - MG,3115508,MG,21703,64590866.06999999,11903100,2221800,78715766.07
Prefeitura Municipal de Caxambu do Sul - SC,4204103,SC,3735,19443306.23,2029096,1074300,22546702.23
Prefeitura Municipal de Caxias - MA,2103000,MA,164224,640154069.14,72161357.86,9504000,721819427
Prefeitura Municipal de Caxias do Sul - RS,4305108,RS,504069,2168030337.8900003,110374189.38,38717149.32,2317121676.5900006
Prefeitura Municipal de Caxingó - PI,2202653,PI,5395,20614700,3357300,605000,24577000
Prefeitura Municipal de Ceará-Mirim - RN,2402600,RN,73099,139537778.2,17194980.06,4772700,161505458.26
Prefeitura Municipal de Cedral - MA,2103109,MA,10657,25652688.290000003,6605119.12,1363872.08,33621679.49
Prefeitura Municipal de Cedral - SP,3511300,SP,9125,39911278.98,6100387.5,1452500,47464166.48
Prefeitura Municipal de Cedro - CE,2303808,CE,25249,48614650,8167811,2007385,58789846
Prefeitura Municipal de Cedro - PE,2604304,PE,11722,29873856,4326666,1436197,35636719
Prefeitura Municipal de Cedro de São João - SE,2801603,SE,5880,16332631.08,2667368.92,1000000,20000000
Prefeitura Municipal de Cedro do Abaeté - MG,3115607,MG,1171,13743996.54,1576778.63,334224.83,15654999.999999998
Prefeitura Municipal de Celso Ramos - SC,4204152,SC,2738,20126496.52,2526333.65,776721.1,23429551.27
Prefeitura Municipal de Centenário - RS,4305116,RS,2905,14411300,2508000,629300,17548600
Prefeitura Municipal de Centenário - TO,1704105,TO,2874,12887631.09,3500240.59,612128.32,17000000
Prefeitura Municipal de Centenário do Sul - PR,4105102,PR,10891,27039163.529999997,5443645.04,1226198.05,33709006.62
Prefeitura Municipal de Central - BA,2907608,BA,17252,46101710,6398290,2500000,55000000
Prefeitura Municipal de Central de Minas - MG,3115706,MG,7017,26167093.759999998,1794906.24,1038000,28999999.999999996
Prefeitura Municipal de Central do Maranhão - MA,2103125,MA,8604,28076146.590000004,2261065.76,769200,31106412.35
Prefeitura Municipal de Centralina - MG,3115805,MG,10425,34079400,4940600,1380000,40400000
Prefeitura Municipal de Centro do Guilherme - MA,2103158,MA,13243,60375864.36,10552873.56,1902381.94,72831119.86
Prefeitura Municipal de Centro Novo do Maranhão - MA,2103174,MA,21399,63970211.45999999,12271789.61,1785000,78027001.07
Prefeitura Municipal de Cerejeiras - RO,1100056,RO,16444,38273500.07,10072247.44,2367070.61,50712818.12
Prefeitura Municipal de Ceres - GO,5205406,GO,22074,94316237.55,10419904.47,2972957.98,107709100
Prefeitura Municipal de Cerqueira César - SP,3511409,SP,19774,68799956.77,9703103.23,2304000,80807060
Prefeitura Municipal de Cerquilho - SP,3511508,SP,48074,161508358.04999998,6647757.8,2800000,170956115.85
Prefeitura Municipal de Cerrito - RS,4305124,RS,6136,25000091.76,3693859.77,850000,29543951.53
Prefeitura Municipal de Cerro Azul - PR,4105201,PR,17725,36108464.879999995,12625699.98,2167000,50901164.86
Prefeitura Municipal de Cerro Branco - RS,4305132,RS,4676,19849838.369999997,3597821.6,854002.98,24301662.95
Prefeitura Municipal de Cerro Corá - RN,2402709,RN,11178,43590648.74,5099511.26,1288000,49978160
Prefeitura Municipal de Cerro Grande - RS,4305157,RS,2327,15312165.740000002,2148245.63,752000,18212411.37
Prefeitura Municipal de Cerro Grande do Sul - RS,4305173,RS,12058,27874269.119999997,4894667.49,906000,33674936.61
Prefeitura Municipal de Cerro Largo - RS,4305207,RS,14074,50185084.7,4129599.01,1914932.85,56229616.56
Prefeitura Municipal de Cerro Negro - SC,4204178,SC,3181,17555565.45,2617026.88,756196.89,20928789.22
Prefeitura Municipal de Cesário Lange - SP,3511607,SP,17915,53893101.26,5682000,2150000,61725101.26
Prefeitura Municipal de Céu Azul - PR,4105300,PR,11709,62959449.92,5908237.6,2484005.23,71351692.75
Prefeitura Municipal de Cezarina - GO,5205455,GO,8507,38087003.83,11138161.31,2418000,51643165.14
Prefeitura Municipal de Chã de Alegria - PE,2604403,PE,13428,29391627.46,4350265.85,1568506.69,35310400
Prefeitura Municipal de Chã Grande - PE,2604502,PE,21579,60815991,6257009,2311000,69384000
Prefeitura Municipal de Chã Preta - AL,2701902,AL,7319,27544802.97,5937763.59,1087940.51,34570507.07
Prefeitura Municipal de Chácara - MG,3115904,MG,3121,18606483.4,1643290.6,660000,20909774
Prefeitura Municipal de Chalé - MG,3116001,MG,5709,16895279.470000003,2163705.13,1000000,20058984.6
Prefeitura Municipal de Chapada - RS,4305306,RS,9300,41526971.510000005,4470959.98,855500,46853431.49000001
