instituicao,cod_ibge,uf,populacao,demais,adm,legis,total
Prefeitura Municipal de Axixá do Tocantins - TO,1702901,TO,9725,29635960.15,2752118.69,750000,33138078.84
Prefeitura Municipal de Babaçulândia - TO,1703008,TO,10662,20121524.88,7278475.12,0,27400000
Prefeitura Municipal de Bacabal - MA,2101202,MA,104633,248298677.11,26814237.89,5484064,280596979
Prefeitura Municipal de Bacabeira - MA,2101251,MA,16855,63076770,5113230,2690000,70880000
Prefeitura Municipal de Bacuri - MA,2101301,MA,18508,39875660,9729350,1474000,51079010
Prefeitura Municipal de Bacurituba - MA,2101350,MA,5617,30902272.5,3647727.5,612000,35162000
Prefeitura Municipal de Bady Bassitt - SP,3504602,SP,17236,63320344,6496000,1276000,71092344
Prefeitura Municipal de Baependi - MG,3104908,MG,19094,52764662.25,5809204.75,1854200,60428067
Prefeitura Municipal de Bagé - RS,4301602,RS,120943,344117561.93,93988437.3,11391000,449496999.23
Prefeitura Municipal de Baía da Traição - PB,2501401,PB,8933,24711397.21,2433076.79,777968,27922442
Prefeitura Municipal de Baía Formosa - RN,2401404,RN,9218,25942253.1,3586142.9,1300000,30828396
Prefeitura Municipal de Baianópolis - BA,2902500,BA,13824,33937510.6,6112489.4,1700000,41750000
Prefeitura Municipal de Baião - PA,1501204,PA,46416,93151134.3,8267240,2280000,103698374.3
Prefeitura Municipal de Baixa Grande - BA,2902609,BA,20488,62271305.06,4237694.94,2044000,68553000
Prefeitura Municipal de Baixa Grande do Ribeiro - PI,2201150,PI,11497,51107267,6492733,2400000,60000000
Prefeitura Municipal de Baixio - CE,2301802,CE,6272,24111269.27,4008147.84,1138800,29258217.11
Prefeitura Municipal de Baixo Guandu - ES,3200805,ES,30862,91102119.83,13016785.03,6661900,110780804.86
Prefeitura Municipal de Balbinos - SP,3504701,SP,5532,15099150,1988950,768000,17856100
Prefeitura Municipal de Baldim - MG,3105004,MG,7851,15804178.88,2439780.1,1038130.55,19282089.53
Prefeitura Municipal de Baliza - GO,5203104,GO,4992,13419355.749999998,3968790.47,0,17388146.22
Prefeitura Municipal de Balneário Arroio do Silva - SC,4201950,SC,12705,36045731.54,3845000,1710000,41600731.54
Prefeitura Municipal de Balneário Barra do Sul - SC,4202057,SC,10550,44094147.29,12154759.4,1491924.56,57740831.25
Prefeitura Municipal de Balneário Camboriú - SC,4202008,SC,138732,964906488.08,87355260,21000000,1073261748.08
Prefeitura Municipal de Balneário Gaivota - SC,4202073,SC,10692,49907744.29,5125686.89,1344000,56377431.18
